,date,open,high,low,close,volume,amount
452,2015-12-02,4720.27,4739.75,4680.0601,4686.2202,624933970,2941300000000
453,2015-12-03,4704.2002,4705.7798,4579.9102,4606.75,696886917,3239940000000
454,2015-12-04,4621.48,4722.3799,4612.1099,4716.1201,635489958,2966480000000
455,2015-12-07,4718.5498,4720.8198,4671.8701,4693.6201,592090790,2783550000000
456,2015-12-08,4646.4302,4708.4702,4643.6499,4694.77,583875950,2728650000000
457,2015-12-09,4674.7998,4698.25,4595.0098,4622.1401,637087874,2960900000000
458,2015-12-10,4627.77,4674.0,4619.98,4643.0498,516838939,2398750000000
459,2015-12-11,4583.0801,4600.9102,4534.0498,4537.5601,674972078,3080500000000
460,2015-12-14,4535.5601,4571.5698,4478.25,4570.1602,708319088,3214980000000
461,2015-12-15,4607.2002,4636.77,4592.7202,4597.3301,698121443,3217300000000
462,2015-12-16,4633.8501,4673.54,4582.8701,4664.5601,597215498,2770310000000
463,2015-12-17,4680.6201,4681.1299,4597.6499,4598.1401,587751539,2726810000000
464,2015-12-18,4578.6899,4593.3999,4519.5298,4531.6699,647355369,2949240000000
465,2015-12-21,4547.9199,4560.71,4519.8198,4560.5498,489879126,2227600000000
466,2015-12-22,4580.6099,4596.0801,4560.54,4589.2598,461138160,2112760000000
467,2015-12-23,4612.1602,4626.1699,4605.3599,4624.5898,482593179,2228170000000
468,2015-12-24,4626.3198,4635.5898,4620.7998,4622.77,191488323,885896000000
469,2015-12-28,4610.4102,4621.6802,4580.1299,4621.3501,336269693,1549660000000
470,2015-12-29,4645.0801,4702.7402,4644.3198,4691.0801,382068258,1784570000000
471,2015-12-30,4687.1602,4688.6602,4651.73,4652.0098,298249887,1392790000000
472,2015-12-31,4634.1499,4642.5498,4592.8799,4593.27,383664759,1770890000000
473,2016-01-04,4485.0601,4497.8599,4439.1299,4497.8599,758593059,3398480000000
474,2016-01-05,4512.04,4522.1201,4466.0498,4484.1802,612149880,2752290000000
475,2016-01-06,4409.7798,4467.5498,4409.4902,4443.98,729656117,3234350000000
476,2016-01-07,4349.1401,4403.6099,4303.6602,4305.7202,874485169,3795730000000
477,2016-01-08,4336.1201,4362.46,4264.8101,4270.7798,768341038,3310430000000
